SNo, Status, Count, Version, PowerLevelRight, ProfileRight, Name, MonitorId, IRIdRight, IRIdVWLeft, Self Noise, AStar, Part, Rssi, Star, Pkts Upgraded, Upgrade Status, MonitorType, LocationCnt, TriggerCnt, SuperSyncTrigger, SuperSyncFrequency, IRProfile, Star MacId, Noise Level, AStar MacId, ProfileVWLeft, Super Sync, Time, Idx, RootCause, Master/Slave, PowerLevelVWLeft, SpecialBeaconMissed, BeaconReceiveCount, SuperSyncSlot, TriggerCountForIRNotRecv/DIM TriggerCount, LBI, LBI Value, Retry, Cycle Count
44, ,7821, M.3.1.20, Medium,4,90000,281755,375,, No,357,2,-74,366, , , Monitor,81901,, Yes, Frequency Range 1, 3 secs, 00:24:DD:00:CB:B1, Low, 00:24:DD:00:C5:1C, , Super Sync OFF,44270.63264,5, , Master, ,,9436102, , , No,641,1,23
45, ,7928, M.12.1.11, Medium,3, ,353487,92,, No,394,1,-71,393, , , VW - 900 MHZ,23059,10, Yes, Frequency Range 1, 3 secs, 00:24:DD:00:CA:E6, Medium, 00:24:DD:00:CB:6A, , Super Sync OFF,44270.63403,14, , Master, ,,6130814, , , No,744,1,59
46, ,7793, M.3.1.14, Medium,5, ,299782,2215,, No,447,1,-73,447, , , Monitor,15162,422, No, Frequency Range 1, 3 secs, 00:24:DD:00:C0:BD, Medium, 00:24:DD:00:C0:BD, , Super Sync OFF,44270.63264,1, , Master, ,,7717236, , , No,766,3,14
47, ,7790, M.12.11.1, Custom Powerlevel,6, ,443762,3675,3744, Yes,585,1,-52,585, , , VW - 900 MHZ,1531,449, No, Frequency Range 1, 3 secs, 00:24:DD:00:C5:88, Low, 00:24:DD:00:C5:88, 4]-D Profile, Super Sync ON,44270.63264,12, , Master, Custom Powerlevel,115031,5027705, , , No,743,1,13
48, ,7780, M.12.11.2, Medium,4, ,512069,1572,, No,557,1,-59,557, , , VW - 900 MHZ,1236,147, No, Frequency Range 1, 3 secs, 00:24:DD:01:2A:4A, Medium, 00:24:DD:01:2A:4A, , Super Sync ON,44270.63194,15, , Master, ,3702,4622101, , , No,738,1,10
49, ,7790, M.12.1.11, Custom Powerlevel,3, ,352973,3755,3738, Yes,585,1,-53,585, , , VW - 900 MHZ,1174,8, No, Frequency Range 1, 3 secs, 00:24:DD:00:C5:88, Low, 00:24:DD:00:C5:88, 4]-D Profile, Super Sync ON,44270.63264,9, , Master, Custom Powerlevel,108723,7133673, , , No,741,3,13
50, ,7786, M.3.1.20, Medium,4, ,315868,593,, No,534,1,-80,534, , , Monitor,11551,1, No, Frequency Range 1, 3 secs, 00:24:DD:00:C8:39, Medium, 00:24:DD:00:C8:39, , Super Sync OFF,44270.63194,9, , Master, ,,6585856, , , No,762,1,12
51, ,7793, M.3.1.20, Medium,4, ,299682,820,, No,516,1,-81,516, , , Monitor,14051,, No, Frequency Range 1, 3 secs, 00:24:DD:00:CB:24, Low, 00:24:DD:00:CB:24, , Super Sync ON,44270.63264,15, , Master, ,80442,7586866, , , No,757,2,14
52, ,7781, M.12.1.11, Low,2, ,355029,1359,, Yes,89,1,-48,89, , , VW - 900 MHZ,1051,4, No, Frequency Range 1, 3 secs, 00:24:DD:00:CE:39, Low, 00:24:DD:00:CE:39, , Super Sync ON,44270.63194,15, , Master, ,1611,6293447, , , No,735,3,10
53, ,7787, M.12.1.11, Medium,4, ,349123,216,, No,208,1,-64,208, , , VW - 900 MHZ,1362,24, No, Frequency Range 1, 3 secs, 00:24:DD:00:CB:7B, Medium, 00:24:DD:00:CB:7B, , Super Sync ON,44270.63194,14, , Master, ,6684,6743097, , , No,743,2,12
54, ,7792, M.12.1.12, Medium,3, ,393070,3904,, No,262,1,-54,262, , , VW - 900 MHZ,1421,4, No, Frequency Range 1, 3 secs, 00:24:DD:00:CB:6F, Medium, 00:24:DD:00:CB:6F, , Super Sync ON,44270.63264,7, , Master, ,1348,5009916, , , No,1023,1,14
55, ,7934, M.12.11.1, Medium,2, ,442834,2081,, No,410,1,-59,410, , , VW - 900 MHZ,278329,278595, No, Frequency Range 1, 3 secs, 00:24:DD:00:C4:E4, Medium, 00:24:DD:00:C4:E4, , Super Sync ON,44270.63403,4, , Master, ,50853,19200, , , No,750,1,61
56, ,7785, M.12.1.11, Medium,4, ,351688,69,, No,356,1,-92,356, , , VW - 900 MHZ,3166,, No, Frequency Range 1, 3 secs, 00:24:DD:00:C5:18, Medium, 00:24:DD:00:C5:18, , Super Sync OFF,44270.63194,3, , Master, ,,6648327, , , No,749,1,11
57, ,7790, M.3.1.20, Medium,2, ,299425,3712,, No,188,1,-68,124, , , Monitor,11234,4, No, Frequency Range 1, 3 secs, 00:24:DD:00:CB:7E, Medium, 00:24:DD:00:CB:74, , Super Sync OFF,44270.63264,3, , Master, ,,7253944, , , No,765,1,13
58, ,7781, M.3.1.20, Medium,1, ,299677,827,, No,520,1,-69,520, , , Monitor,11103,18, No, Frequency Range 1, 3 secs, 00:24:DD:00:CB:D9, Low, 00:24:DD:00:CB:D9, , Super Sync ON,44270.63194,10, , Master, ,74344,7359718, , , No,761,3,10
